Time,CO94,CO92,CO91,CO44,CO42,CO41,E94,E92,E91,E44,E42,E41,C04,C02,C01
0,3.86923172,1.929418926,1.176091259,4.010723865,1.977723605,0.823908741,8.72427587,8.792391689,8.77815125,4.158362492,3.851258349,3.819543936,3.792391689,1.740362689,0.698970004
0,3.596597096,1,1,3.591064607,1.875061263,0.522878745,8.916453949,8.894869657,8.931966115,4.064457989,3.841984805,3.802773725,3.672097858,1.544068044,0.920818754
0,3.812913357,1.301029996,0.698970004,3.672097858,1.602059991,0.522878745,8.698970004,8.785329835,8.806179974,3.986771734,3.596597096,3.755874856,3.740362689,2.113943352,0.823908741
6,3.361727836,0,0,5.8162413,3.781755375,2.792391689,9.245512668,9.284430734,9.252853031,8.218797998,8.214843848,8.243038049,5.550228353,3.498310554,3.161368002
6,3.290034611,1.176091259,0.698970004,5.596597096,2.995635195,2.929418926,9.100370545,9.047274867,9.025305865,8.277609214,8.068185862,8.06069784,5.431363764,3.342422681,2.230448921
6,3.311753861,0.698970004,0.698970004,5.414973348,2.414973348,2.537819095,9.122215878,9.255272505,9.202760687,8.252853031,8.162862993,8.105510185,5.217483944,3.33243846,2.662757832
12,2.770852012,1.301029996,0,6.012837225,3.409087369,2.785329835,9.1775365,9.190331698,9.191730393,9.130333768,9.146128036,9.096910013,7.562292864,5.740362689,5.740362689
12,2.653212514,1,0,5.596597096,2.919078092,2.544068044,8.217483944,9.141449773,9.194514342,9.147676324,9.103803721,9.123851641,7.537819095,6.041392685,4.989004616
12,3.041392685,0,0,5.591064607,3.423245874,1.698970004,9.117271296,9.170261715,9.1775365,9.155336037,9.113943352,9.07371835,8.086359831,6.322219295,5.054995862
24,3.84509804,1.77815125,1.397940009,6.84509804,4.579783597,2.562292864,9.161368002,9.135132651,9.108903128,9.096910013,9.159867847,9.086359831,8.15075644,8.481442629,8.425697213
24,3.389166084,0,0,6.103803721,3.84509804,3.070037867,9.086359831,8.997823081,8.970811611,9.120573931,9.056904851,9.06069784,8.173186268,8.464638559,8.336459734
24,4.462397998,0,0,6.010723865,3.84509804,3.243038049,8.991226076,9.010723865,9.068185862,9.06069784,9.071882007,8.980003372,7.877946952,8.159867847,8.460897843
36,5.716003344,2.84509804,0,7.69019608,6.662757832,6.596597096,9.153814864,9.084576278,9.070037867,8.937016107,8.937016107,9.056904851,7.58546073,8.064457989,7.707570176
36,4.602059991,2.176091259,0,7.77815125,7.159867847,5.848189117,8.970811611,8.926856709,9.058805487,9.113943352,9.100370545,9.010723865,6.929418926,7.720159303,8.761927838
36,5,0,0,7.447158031,6.579783597,4.653212514,8.970811611,9.01494035,8.931966115,8.894869657,8.949390007,8.966141733,7.903089987,7.877946952,7.607455023
48,6.699404082,5.939519253,0,7.872156273,7.349277527,6.660865478,9.176091259,9.46834733,9.155336037,9.152288344,9.120573931,9.100370545,,,
48,4.010723865,4.477121255,0,7.498310554,7.596597096,7.439332694,8.90579588,8.897627091,8.822821645,9.077367905,9.062581984,9.037426498,,,
48,7.389166084,3.638489257,0,7.77815125,7.774516966,7.477121255,9.077367905,9.120573931,9.075546961,9.051152522,9.043362278,9.064457989,,,
60,7.785329835,6.64738297,0,7.8162413,7.740362689,7.748188027,9.054995862,9.11058971,9.017033339,9.102090526,9.084576278,9.11058971,,,
60,6.301029996,4.875061263,0,7.911157609,7.894869657,7.643452676,8.806179974,8.970811611,8.982271233,9.123851641,8.77815125,8.954242509,,,
60,7.602059991,6.875061263,0,7.826074803,7.795880017,7.568201724,9.105510185,9.053078443,9.01494035,9.105510185,9.051152522,9.02325246,,,
72,7.711807229,7.484299839,0,8.064457989,8.025305865,7.752048448,9.231724383,9.133538908,9.11058971,9.135132651,9.283301229,9.239299479,,,
72,6.176091259,,0,7.720159303,7.806179974,7.770852012,9.1775365,8.942008053,8.911157609,9.108903128,9.080987047,8.911157609,,,
72,7.73239376,7.537819095,,7.946943271,7.919078092,7.832508913,9.174641193,9.095169351,9.167317335,9.004321374,9.1430148,8.99343623,,,